Processor used to perform tests: Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz
C,gamma,kernel,test_accuracy,test_f1_weighted,learn_time,test_time
60,0.006,sigmoid,0.1257,0.0925,338.57,18.54
60,0.001,linear,0.9132,0.9141,109.27,7.61
60,0.001,poly,0.4826,0.5478,466.99,16.32
60,0.001,rbf,0.8938,0.8973,197.88,18.15
60,0.001,sigmoid,0.4535,0.4802,232.98,15.58
60,0.003,linear,0.9132,0.9141,104.99,7.38
60,0.003,poly,0.6750,0.7238,281.09,13.07
60,0.003,rbf,0.9333,0.9339,168.39,17.91
60,0.003,sigmoid,0.2076,0.2269,272.41,17.92
60,0.006,linear,0.9132,0.9141,108.71,7.66
60,0.006,poly,0.7194,0.7543,218.62,10.87
60,0.006,rbf,0.9347,0.9351,189.65,19.10
60,0.006,sigmoid,0.1257,0.0925,317.04,18.41
60,0.01,linear,0.9132,0.9141,107.75,7.48
60,0.01,poly,0.7479,0.7702,182.94,10.00
60,0.01,rbf,0.9368,0.9371,239.12,20.02
60,0.01,sigmoid,0.0958,0.0477,395.96,19.19
60,0.03,linear,0.9132,0.9141,106.47,7.39
60,0.03,poly,0.7847,0.7914,127.14,8.70
60,0.03,rbf,0.9236,0.9240,484.91,24.15
60,0.03,sigmoid,0.0278,0.0068,429.14,19.82
60,0.06,linear,0.9132,0.9141,106.06,7.26
60,0.06,poly,0.7778,0.7863,107.84,7.93
60,0.06,rbf,0.8819,0.8879,715.90,26.94
60,0.06,sigmoid,0.0174,0.0031,455.66,19.42
60,0.1,linear,0.9132,0.9141,103.85,7.30
60,0.1,poly,0.7750,0.7834,102.42,7.84
60,0.1,rbf,0.7736,0.8150,818.93,28.71
60,0.1,sigmoid,0.0160,0.0036,487.88,19.44
60,0.3,linear,0.9132,0.9141,106.38,7.18
60,0.3,poly,0.7639,0.7728,99.11,7.87
60,0.3,rbf,0.6090,0.6920,900.85,31.58
60,0.3,sigmoid,0.0306,0.0161,677.95,20.33
60,0.6,linear,0.9132,0.9141,106.13,7.46
60,0.6,poly,0.7618,0.7705,100.92,7.64
60,0.6,rbf,0.4694,0.5675,907.12,33.80
60,0.6,sigmoid,0.0292,0.0036,778.72,20.52
60,1,linear,0.9132,0.9141,106.64,7.50
60,1,poly,0.7618,0.7705,96.61,7.78
60,1,rbf,0.3924,0.4881,937.60,33.33
60,1,sigmoid,0.0333,0.0039,788.05,20.59
100,0.0001,linear,0.9132,0.9141,104.13,7.48
100,0.0001,poly,0.0847,0.0569,827.46,19.47
100,0.0001,rbf,0.7708,0.7952,321.89,22.90
100,0.0001,sigmoid,0.7000,0.7315,341.99,15.52
100,0.0003,linear,0.9132,0.9141,109.91,7.62
100,0.0003,poly,0.2590,0.3117,698.41,19.54
100,0.0003,rbf,0.8542,0.8640,244.79,19.29
100,0.0003,sigmoid,0.7778,0.7960,265.70,12.47
100,0.006,linear,0.9132,0.9141,110.30,7.59
100,0.006,poly,0.7333,0.7641,209.29,10.90
100,0.006,rbf,0.9396,0.9397,187.02,19.04
100,0.006,sigmoid,0.1264,0.0938,328.31,18.92
100,0.001,linear,0.9132,0.9141,107.49,7.55
100,0.001,poly,0.5312,0.5962,436.04,15.88
100,0.001,rbf,0.9201,0.9220,177.75,17.19
100,0.001,sigmoid,0.4757,0.4946,213.49,15.13
100,0.003,linear,0.9132,0.9141,106.68,7.41
100,0.003,poly,0.6875,0.7318,265.08,12.47
100,0.003,rbf,0.9313,0.9317,163.82,17.27
100,0.003,sigmoid,0.1965,0.2197,280.09,17.75
100,0.006,linear,0.9132,0.9141,110.46,7.69
100,0.006,poly,0.7333,0.7641,204.50,10.90
100,0.006,rbf,0.9396,0.9397,180.96,19.19
100,0.006,sigmoid,0.1264,0.0938,337.90,19.19
100,0.01,linear,0.9132,0.9141,108.59,7.17
100,0.01,poly,0.7451,0.7641,172.66,9.61
100,0.01,rbf,0.9410,0.9412,232.73,21.02
100,0.01,sigmoid,0.0958,0.0477,391.53,19.23
100,0.03,linear,0.9132,0.9141,105.50,7.51
100,0.03,poly,0.7889,0.7955,122.31,8.06
100,0.03,rbf,0.9264,0.9269,504.24,24.81
100,0.03,sigmoid,0.0278,0.0068,430.75,20.00
100,0.06,linear,0.9132,0.9141,108.89,7.56
100,0.06,poly,0.7715,0.7798,111.39,7.65
100,0.06,rbf,0.8826,0.8886,719.80,26.99
100,0.06,sigmoid,0.0174,0.0031,444.03,19.67
100,0.1,linear,0.9132,0.9141,106.91,7.55
100,0.1,poly,0.7708,0.7796,102.14,8.03
100,0.1,rbf,0.7736,0.8150,780.57,23.82
100,0.1,sigmoid,0.0167,0.0031,486.91,19.61
100,0.3,linear,0.9132,0.9141,107.38,7.40
100,0.3,poly,0.7625,0.7713,97.29,7.78
100,0.3,rbf,0.6090,0.6920,765.28,18.20
100,0.3,sigmoid,0.0333,0.0186,612.44,13.78
100,0.6,linear,0.9132,0.9141,105.00,7.39
100,0.6,poly,0.7618,0.7705,96.97,7.78
100,0.6,rbf,0.4694,0.5675,658.82,11.38
100,0.6,sigmoid,0.0292,0.0036,600.86,10.08
100,1,linear,0.9132,0.9141,106.09,7.33
100,1,poly,0.7618,0.7705,97.28,7.67
100,1,rbf,0.3924,0.4881,519.57,7.91
100,1,sigmoid,0.0333,0.0039,439.09,5.63
